	BookTitle
373	Thunderball
374	The Scarlet Letter
375	Live from Death Row
376	Hideous Kinky
377	You Only Live Twice
378	Walden
379	Diaspora
380	Schild's Ladder
381	Murder on the Links
382	The Years of Rice and Salt
383	The Fourth Protocol
384	The Gods Themselves
385	Charlotte's Web
386	Howl's Moving Castle
387	Breakfast of Champions
388	Mother Night
389	Rainbow Six
390	Jasmine
391	Far from the Madding Crowd
392	Vineland
393	Empire of the Sun
394	Maurice
395	The Ice Storm
396	The Forever War
397	Robots and Empire
398	Second Foundation
399	Girlfriend in a Coma
400	The Sparrow
401	Red Rabbit
402	Family Matters
403	Babbitt
404	Amerika
405	The Farthest Shore
406	The Quiet American
407	An American Tragedy
408	Christine
409	Nova Express
410	As I Lay Dying
411	The God of Small Things
412	The Comedy of Errors
413	The Other Wind
414	The Colour of Magic
415	Children of the Atom
416	Siddhartha
417	Guards! Guards!
418	Pyramids
419	The Master and Margarita
420	The Lords of Discipline
421	Out of the Silent Planet
422	Eric
423	The Sirens of Titan
424	Mila 18
425	Freaky Friday
426	How Few Remain
427	Teranesia
428	On the Road
429	Vile Bodies
430	Roma Eterna
431	The Robber Bride
432	The Day of the Locust
433	The Egg and I
434	Persuasion
435	Rubyfruit Jungle
436	Fallen Dragon
437	The Plague Dogs
438	Moll Flanders
439	Skellig
440	The Road to Oz
441	The Last Battle
442	A Clergyman's Daughter
443	Player Piano
444	The Loved One
445	A Town Like Alice
446	We the Living
447	The Call of the Wild
448	The Soft Machine
449	Caddie Woodlawn
450	The Sun Also Rises
451	The First Circle
452	Singularity Sky
453	The Perfect Storm
454	The Marvelous Land of Oz
455	Ozma of Oz
456	Prey
457	The Tin Woodman of Oz
458	Rocannon's World
459	Always Coming Home
460	The Last of the Mohicans
461	Forward the Foundation
462	Tik-Tok of Oz
463	The Scarecrow of Oz
464	Timequake
465	The Neverending Story
466	The Chosen
467	Rinkitink in Oz
468	The Lost Princess of Oz
469	The Time Ships
470	Evolution
471	Black Beauty
472	The Thorn Birds
473	The Magic of Oz
474	Charlie and the Great Glass Elevator
475	Moving Pictures
476	Walk Two Moons
477	Main Street
478	Misery
479	The Monk
480	American Tabloid
481	Fifth Business
482	Black Boy
